cruise,lon,lat
EN658,-73.0295,39.0565
EN658,-73.0585,39.0211
EN658,-73.0877,38.9829
EN658,-73.1164,38.945
EN658,-73.1452,38.9071
EN658,-73.1738,38.8694
EN658,-73.2037,38.8317
EN658,-73.236,38.7942
EN658,-73.2661,38.7548
EN658,-73.2962,38.7151
EN658,-73.3267,38.6766
EN658,-73.3578,38.6381
EN658,-73.3902,38.5999
EN658,-73.4228,38.5622
EN658,-73.4534,38.5239
EN658,-73.4843,38.4867
EN658,-73.512,38.4498
EN658,-73.5299,38.4088
EN658,-73.547,38.3671
EN658,-73.5633,38.3248
EN658,-73.5803,38.2821
EN658,-73.5976,38.2398
EN658,-73.6141,38.1995
EN658,-73.6305,38.1586
EN658,-73.6441,38.1169
EN658,-73.6541,38.0814
EN658,-73.6524,38.0713
EN658,-73.6404,38.0691
EN658,-73.6343,38.0667
EN658,-73.6258,38.0668
EN658,-73.6168,38.0674
EN658,-73.6067,38.0696
EN658,-73.5916,38.0651
EN658,-73.5876,38.0666
EN658,-73.5831,38.067
EN658,-73.5967,38.067
EN658,-73.5977,38.0665
EN658,-73.5902,38.072
EN658,-73.5915,38.0654
EN658,-73.5988,38.0592
EN658,-73.5913,38.0591
EN658,-73.5834,38.0657
EN658,-73.584,38.0642
EN658,-73.592,38.0709
EN658,-73.5987,38.0708
EN658,-73.5925,38.0646
EN658,-73.5869,38.0586
EN658,-73.5952,38.0601
EN658,-73.6021,38.0663
EN658,-73.5983,38.0634
EN658,-73.5875,38.0568
EN658,-73.5921,38.0643
EN658,-73.5987,38.0703
EN658,-73.5918,38.0707
EN658,-73.583,38.0636
EN658,-73.5834,38.0654
EN658,-73.5958,38.0571
EN658,-73.5927,38.0647
EN658,-73.5895,38.0724
EN658,-73.6012,38.0642
EN658,-73.5963,38.0645
EN658,-73.5937,38.0641
EN658,-73.5995,38.064
EN658,-73.5766,38.057
EN658,-73.5717,38.0546
EN658,-73.5985,38.0563
EN658,-73.6326,38.0561
EN658,-73.6667,38.0555
EN658,-73.7008,38.0544
EN658,-73.7345,38.0531
EN658,-73.768,38.0521
EN658,-73.7956,38.0504
EN658,-73.8054,38.0496
EN658,-73.8145,38.0485
EN658,-73.8222,38.0475
EN658,-73.8137,38.0483
EN658,-73.8206,38.0476
EN658,-73.8275,38.0467
EN658,-73.834,38.0457
EN658,-73.8397,38.0451
EN658,-73.8353,38.0457
EN658,-73.8297,38.0461
EN658,-73.8249,38.0463
EN658,-73.8204,38.0455
EN658,-73.8157,38.0446
EN658,-73.82,38.0473
EN658,-73.825,38.0489
EN658,-73.8306,38.0503
EN658,-73.8276,38.0476
EN658,-73.8194,38.0447
EN658,-73.823,38.0453
EN658,-73.8189,38.0313
EN658,-73.8209,38.037
EN658,-73.8231,38.0413
EN658,-73.8255,38.0458
EN658,-73.8103,38.0388
EN658,-73.8173,38.0376
EN658,-73.8254,38.0366
EN658,-73.835,38.0352
EN658,-73.8459,38.0363
EN658,-73.8449,38.0443
EN658,-73.835,38.0445
EN658,-73.8281,38.0437
EN658,-73.8224,38.0434
EN658,-73.8176,38.0443
EN658,-73.8124,38.0458
EN658,-73.8139,38.0478
EN658,-73.8206,38.0489
EN658,-73.827,38.0496
EN658,-73.8207,38.0489
EN658,-73.8143,38.0482
EN658,-73.8143,38.0482
EN658,-73.8143,38.0482
EN658,-73.814,38.0467
EN658,-73.8254,38.0446
EN658,-73.8243,38.0465
EN658,-73.8179,38.0474
EN658,-73.8027,38.0483
EN658,-73.7921,38.0478
EN658,-73.782,38.0454
EN658,-73.7723,38.0428
EN658,-73.7631,38.0403
EN658,-73.774,38.0415
EN658,-73.7917,38.0427
EN658,-73.8101,38.0438
EN658,-73.8289,38.0456
EN658,-73.8397,38.0454
EN658,-73.8182,38.0598
