cruise,lon,lat
EN696,-79.235,32.1572
EN696,-79.2732,32.1286
EN696,-79.3101,32.1029
EN696,-79.3491,32.079
EN696,-79.3889,32.0551
EN696,-79.4262,32.0278
EN696,-79.4623,31.9998
EN696,-79.4977,31.9714
EN696,-79.5332,31.9436
EN696,-79.5714,31.9161
EN696,-79.6114,31.8891
EN696,-79.652,31.8611
EN696,-79.6917,31.8327
EN696,-79.7305,31.8051
EN696,-79.769,31.7784
EN696,-79.8085,31.7508
EN696,-79.8479,31.7234
EN696,-79.8878,31.6962
EN696,-79.9279,31.6686
EN696,-79.9675,31.6399
EN696,-80.007,31.6108
EN696,-80.0451,31.5803
EN696,-80.0834,31.5496
EN696,-80.1226,31.5187
EN696,-80.162,31.4882
EN696,-80.2035,31.459
EN696,-80.2444,31.4299
EN696,-80.2846,31.4005
EN696,-80.3239,31.3703
EN696,-80.3636,31.3394
EN696,-80.3893,31.3015
EN696,-80.4032,31.2578
EN696,-80.4174,31.2141
EN696,-80.4315,31.1705
EN696,-80.4457,31.1269
EN696,-80.46,31.0835
EN696,-80.474,31.0399
EN696,-80.4874,30.9963
EN696,-80.4985,30.9524
EN696,-80.5094,30.9084
EN696,-80.52,30.8645
EN696,-80.5304,30.8205
EN696,-80.5405,30.7767
EN696,-80.5502,30.7328
EN696,-80.5601,30.6889
EN696,-80.5717,30.6454
EN696,-80.5842,30.6021
EN696,-80.5964,30.5587
EN696,-80.6098,30.5157
EN696,-80.6231,30.4726
EN696,-80.636,30.4293
EN696,-80.6501,30.3863
EN696,-80.6644,30.3433
EN696,-80.6788,30.3002
EN696,-80.6927,30.257
EN696,-80.7053,30.2134
EN696,-80.7164,30.1692
EN696,-80.7276,30.1252
EN696,-80.739,30.0808
EN696,-80.7345,30.0354
EN696,-80.7302,29.9918
EN696,-80.7265,29.9495
EN696,-80.7228,29.9071
EN696,-80.719,29.8641
EN696,-80.7147,29.8215
EN696,-80.7106,29.7791
EN696,-80.7067,29.7368
